G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
22,2024-12-04,7:30p,Home,Detroit Pistons,W,130,120,18,4,W 2,19156,2:12,2024,BOS
23,2024-12-06,7:30p,Home,Milwaukee Bucks,W,111,105,19,4,W 3,19156,2:16,2024,BOS
24,2024-12-07,8:00p,Home,Memphis Grizzlies,L,121,127,19,5,L 1,19156,2:20,2024,BOS
25,2024-12-12,7:30p,Home,Detroit Pistons,W,123,99,20,5,W 1,19156,1:57,2024,BOS
26,2024-12-15,6:00p,Away,Washington Wizards,W,112,98,21,5,W 2,16227,2:05,2024,BOS
27,2024-12-19,7:30p,Home,Chicago Bulls,L,108,117,21,6,L 1,19156,2:06,2024,BOS
28,2024-12-21,8:00p,Away,Chicago Bulls,W,123,98,22,6,W 1,19803,1:57,2024,BOS
29,2024-12-23,7:00p,Away,Orlando Magic,L,104,108,22,7,L 1,18846,2:26,2024,BOS
30,2024-12-25,5:00p,Home,Philadelphia 76ers,L,114,118,22,8,L 2,19156,2:23,2024,BOS
31,2024-12-27,7:30p,Home,Indiana Pacers,W,142,105,23,8,W 1,19156,2:08,2024,BOS
32,2024-12-29,6:00p,Home,Indiana Pacers,L,114,123,23,9,L 1,19156,2:13,2024,BOS
33,2024-12-31,3:00p,Home,Toronto Raptors,W,125,71,24,9,W 1,19156,1:59,2024,BOS
34,2025-01-02,7:30p,Away,Minnesota Timberwolves,W,118,115,25,9,W 2,18978,2:11,2024,BOS
35,2025-01-03,8:00p,Away,Houston Rockets,W,109,86,26,9,W 3,18055,2:01,2024,BOS
36,2025-01-05,3:30p,Away,Oklahoma City Thunder,L,92,105,26,10,L 1,18203,2:08,2024,BOS
37,2025-01-07,10:00p,Away,Denver Nuggets,W,118,106,27,10,W 1,19904,2:16,2024,BOS
38,2025-01-10,7:30p,Home,Sacramento Kings,L,97,114,27,11,L 1,19156,2:00,2024,BOS
39,2025-01-12,6:00p,Home,New Orleans Pelicans,W,120,119,28,11,W 1,19156,2:15,2024,BOS
40,2025-01-15,7:30p,Away,Toronto Raptors,L,97,110,28,12,L 1,18566,2:09,2024,BOS
41,2025-01-17,7:00p,Home,Orlando Magic,W,121,94,29,12,W 1,19156,2:23,2024,BOS
42,2025-01-18,7:00p,Home,Atlanta Hawks,L,115,119,29,13,L 1,19156,2:40,2024,BOS
43,2025-01-20,5:00p,Away,Golden State Warriors,W,125,85,30,13,W 1,18064,2:06,2024,BOS
44,2025-01-22,10:30p,Away,Los Angeles Clippers,W,117,113,31,13,W 2,15342,2:40,2024,BOS
45,2025-01-23,10:00p,Away,Los Angeles Lakers,L,96,117,31,14,L 1,18997,2:08,2024,BOS
46,2025-01-25,5:30p,Away,Dallas Mavericks,W,122,107,32,14,W 1,20421,2:27,2024,BOS
47,2025-01-27,7:30p,Home,Houston Rockets,L,112,114,32,15,L 1,19156,2:19,2024,BOS
48,2025-01-29,7:30p,Home,Chicago Bulls,W,122,100,33,15,W 1,19156,2:07,2024,BOS
49,2025-01-31,8:00p,Away,New Orleans Pelicans,W,118,116,34,15,W 2,16432,2:16,2024,BOS
50,2025-02-02,6:00p,Away,Philadelphia 76ers,W,118,110,35,15,W 3,19766,2:22,2024,BOS
51,2025-02-04,7:30p,Away,Cleveland Cavaliers,W,112,105,36,15,W 4,19432,2:26,2024,BOS
52,2025-02-06,7:30p,Home,Dallas Mavericks,L,120,127,36,16,L 1,19156,2:09,2024,BOS
53,2025-02-08,8:30p,Away,New York Knicks,W,131,104,37,16,W 1,19812,2:13,2024,BOS
54,2025-02-10,7:30p,Away,Miami Heat,W,103,85,38,16,W 2,19961,1:53,2024,BOS
55,2025-02-12,7:00p,Home,San Antonio Spurs,W,116,103,39,16,W 3,19156,2:06,2024,BOS
56,2025-02-20,7:00p,Away,Philadelphia 76ers,W,124,104,40,16,W 4,19752,2:09,2024,BOS
57,2025-02-23,1:00p,Home,New York Knicks,W,118,105,41,16,W 5,19156,2:06,2024,BOS
58,2025-02-25,7:00p,Away,Toronto Raptors,W,111,101,42,16,W 6,18134,2:02,2024,BOS
59,2025-02-26,7:00p,Away,Detroit Pistons,L,97,117,42,17,L 1,20062,2:01,2024,BOS
60,2025-02-28,7:30p,Home,Cleveland Cavaliers,L,116,123,42,18,L 2,19156,2:15,2024,BOS
61,2025-03-02,1:00p,Home,Denver Nuggets,W,110,103,43,18,W 1,19156,2:18,2024,BOS
62,2025-03-05,7:00p,Home,Portland Trail Blazers,W,128,118,44,18,W 2,19156,2:05,2024,BOS
63,2025-03-06,7:30p,Home,Philadelphia 76ers,W,123,105,45,18,W 3,19156,2:12,2024,BOS
64,2025-03-08,8:30p,Home,Los Angeles Lakers,W,111,101,46,18,W 4,19156,2:18,2024,BOS
65,2025-03-10,7:30p,Home,Utah Jazz,W,114,108,47,18,W 5,19156,2:07,2024,BOS
66,2025-03-12,7:30p,Home,Oklahoma City Thunder,L,112,118,47,19,L 1,19156,2:17,2024,BOS
67,2025-03-14,7:00p,Away,Miami Heat,W,103,91,48,19,W 1,19719,2:03,2024,BOS
68,2025-03-15,6:00p,Away,Brooklyn Nets,W,115,113,49,19,W 2,18016,2:10,2024,BOS
69,2025-03-18,7:30p,Home,Brooklyn Nets,W,104,96,50,19,W 3,19156,2:08,2024,BOS
70,2025-03-21,9:30p,Away,Utah Jazz,W,121,99,51,19,W 4,18175,2:00,2024,BOS
71,2025-03-23,6:00p,Away,Portland Trail Blazers,W,129,116,52,19,W 5,18181,1:58,2024,BOS
72,2025-03-24,10:00p,Away,Sacramento Kings,W,113,95,53,19,W 6,15855,2:11,2024,BOS
73,2025-03-26,10:00p,Away,Phoenix Suns,W,132,102,54,19,W 7,17071,2:13,2024,BOS
74,2025-03-29,8:00p,Away,San Antonio Spurs,W,121,111,55,19,W 8,18674,2:09,2024,BOS
75,2025-03-31,7:30p,Away,Memphis Grizzlies,W,117,103,56,19,W 9,16867,2:13,2024,BOS
76,2025-04-02,7:30p,Home,Miami Heat,L,103,124,56,20,L 1,19156,2:06,2024,BOS
77,2025-04-04,7:30p,Home,Phoenix Suns,W,123,103,57,20,W 1,19156,2:05,2024,BOS
78,2025-04-06,6:00p,Home,Washington Wizards,W,124,90,58,20,W 2,19156,1:52,2024,BOS
79,2025-04-08,7:30p,Away,New York Knicks,W,119,117,59,20,W 3,19812,2:42,2024,BOS
80,2025-04-09,7:00p,Away,Orlando Magic,L,76,96,59,21,L 1,19128,1:50,2024,BOS
81,2025-04-11,7:30p,Home,Charlotte Hornets,W,130,94,60,21,W 1,19156,1:52,2024,BOS
82,2025-04-13,1:00p,Home,Charlotte Hornets,W,93,86,61,21,W 2,19156,2:00,2024,BOS
1,2024-10-22,7:30p,Away,Boston Celtics,L,109,132,0,1,L 1,19156,2:04,2024,NYK
2,2024-10-25,7:30p,Home,Indiana Pacers,W,123,98,1,1,W 1,19812,2:21,2024,NYK
3,2024-10-28,7:30p,Home,Cleveland Cavaliers,L,104,110,1,2,L 1,19812,2:23,2024,NYK
4,2024-10-30,7:30p,Away,Miami Heat,W,116,107,2,2,W 1,19620,2:10,2024,NYK
5,2024-11-01,7:00p,Away,Detroit Pistons,W,128,98,3,2,W 2,17022,1:55,2024,NYK
6,2024-11-04,8:45p,Away,Houston Rockets,L,97,109,3,3,L 1,16417,2:08,2024,NYK
7,2024-11-06,7:30p,Away,Atlanta Hawks,L,116,121,3,4,L 2,16072,2:16,2024,NYK
8,2024-11-08,7:30p,Home,Milwaukee Bucks,W,116,94,4,4,W 1,19812,2:07,2024,NYK
9,2024-11-10,5:00p,Away,Indiana Pacers,L,121,132,4,5,L 1,17274,2:22,2024,NYK
10,2024-11-12,7:30p,Away,Philadelphia 76ers,W,111,99,5,5,W 1,19758,2:24,2024,NYK
11,2024-11-13,7:30p,Home,Chicago Bulls,L,123,124,5,6,L 1,19812,2:16,2024,NYK
12,2024-11-15,7:30p,Home,Brooklyn Nets,W,124,122,6,6,W 1,19812,2:43,2024,NYK
13,2024-11-17,7:00p,Home,Brooklyn Nets,W,114,104,7,6,W 2,19812,2:20,2024,NYK
14,2024-11-18,7:30p,Home,Washington Wizards,W,134,106,8,6,W 3,19812,2:00,2024,NYK
15,2024-11-20,10:00p,Away,Phoenix Suns,W,138,122,9,6,W 4,17071,2:16,2024,NYK
16,2024-11-23,5:00p,Away,Utah Jazz,L,106,121,9,7,L 1,18175,2:07,2024,NYK
17,2024-11-25,9:00p,Away,Denver Nuggets,W,145,118,10,7,W 1,19842,,2024,NYK
18,2024-11-27,7:30p,Away,Dallas Mavericks,L,114,129,10,8,L 1,20413,2:17,2024,NYK
19,2024-11-29,12:00p,Away,Charlotte Hornets,W,99,98,11,8,W 1,19313,2:17,2024,NYK
20,2024-12-01,6:00p,Home,New Orleans Pelicans,W,118,85,12,8,W 2,19812,2:03,2024,NYK
21,2024-12-03,7:30p,Home,Orlando Magic,W,121,106,13,8,W 3,19812,2:26,2024,NYK
