,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
67,65,"Wed, Mar 13, 2024",7:00p,Toronto Raptors,W,113,104,12,53,W 2,19313,2:18,2024,DET
68,66,"Fri, Mar 15, 2024",7:00p,Miami Heat,L,95,108,12,54,L 1,19894,2:01,2024,DET
69,67,"Sun, Mar 17, 2024",3:00p,Miami Heat,L,101,104,12,55,L 2,20004,2:03,2024,DET
70,68,"Mon, Mar 18, 2024",7:30p,Boston Celtics,L,94,119,12,56,L 3,19156,1:53,2024,DET
71,69,"Wed, Mar 20, 2024",7:00p,Indiana Pacers,L,103,122,12,57,L 4,19897,2:09,2024,DET
72,70,"Fri, Mar 22, 2024",7:00p,Boston Celtics,L,102,129,12,58,L 5,19994,1:59,2024,DET
73,71,"Sun, Mar 24, 2024",3:00p,New Orleans Pelicans,L,101,114,12,59,L 6,19922,2:08,2024,DET
74,72,"Mon, Mar 25, 2024",7:30p,New York Knicks,L,99,124,12,60,L 7,19812,2:11,2024,DET
75,73,"Wed, Mar 27, 2024",8:00p,Minnesota Timberwolves,L,91,106,12,61,L 8,18024,2:02,2024,DET
76,74,"Fri, Mar 29, 2024",7:00p,Washington Wizards,W,96,87,13,61,W 1,15023,2:06,2024,DET
77,75,"Mon, Apr 1, 2024",7:00p,Memphis Grizzlies,L,108,110,13,62,L 1,19999,2:08,2024,DET
78,76,"Wed, Apr 3, 2024",7:30p,Atlanta Hawks,L,113,121,13,63,L 2,17899,2:07,2024,DET
79,77,"Fri, Apr 5, 2024",8:00p,Memphis Grizzlies,L,90,108,13,64,L 3,16745,2:01,2024,DET
80,78,"Sat, Apr 6, 2024",7:00p,Brooklyn Nets,L,103,113,13,65,L 4,17732,2:07,2024,DET
81,79,"Tue, Apr 9, 2024",7:00p,Philadelphia 76ers,L,102,120,13,66,L 5,19796,2:15,2024,DET
82,80,"Thu, Apr 11, 2024",7:00p,Chicago Bulls,L,105,127,13,67,L 6,20013,2:03,2024,DET
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,DET
84,81,"Fri, Apr 12, 2024",8:30p,Dallas Mavericks,W,107,89,14,67,W 1,20274,1:55,2024,DET
85,82,"Sun, Apr 14, 2024",3:30p,San Antonio Spurs,L,95,123,14,68,L 1,18516,1:54,2024,DET
0,1,"Wed, Oct 25, 2023",8:00p,Chicago Bulls,W,124,104,1,0,W 1,21369,2:05,2024,OKC
1,2,"Fri, Oct 27, 2023",7:30p,Cleveland Cavaliers,W,108,105,2,0,W 2,19432,2:27,2024,OKC
2,3,"Sun, Oct 29, 2023",3:30p,Denver Nuggets,L,95,128,2,1,L 1,18203,2:00,2024,OKC
3,4,"Mon, Oct 30, 2023",8:00p,Detroit Pistons,W,124,112,3,1,W 1,16127,2:18,2024,OKC
4,5,"Wed, Nov 1, 2023",7:30p,New Orleans Pelicans,L,106,110,3,2,L 1,15764,2:32,2024,OKC
5,6,"Fri, Nov 3, 2023",8:00p,Golden State Warriors,L,139,141,3,3,L 2,16827,2:39,2024,OKC
6,7,"Mon, Nov 6, 2023",8:00p,Atlanta Hawks,W,126,117,4,3,W 1,16486,2:17,2024,OKC
7,8,"Wed, Nov 8, 2023",8:00p,Cleveland Cavaliers,W,128,120,5,3,W 2,16314,2:19,2024,OKC
8,9,"Fri, Nov 10, 2023",10:00p,Sacramento Kings,L,98,105,5,4,L 1,18097,2:22,2024,OKC
9,10,"Sun, Nov 12, 2023",8:00p,Phoenix Suns,W,111,99,6,4,W 1,17071,2:15,2024,OKC
10,11,"Tue, Nov 14, 2023",7:30p,San Antonio Spurs,W,123,87,7,4,W 2,18203,2:17,2024,OKC
11,12,"Thu, Nov 16, 2023",10:00p,Golden State Warriors,W,128,109,8,4,W 3,18064,2:09,2024,OKC
12,13,"Sat, Nov 18, 2023",8:30p,Golden State Warriors,W,130,123,9,4,W 4,18064,2:27,2024,OKC
13,14,"Sun, Nov 19, 2023",9:00p,Portland Trail Blazers,W,134,91,10,4,W 5,18235,1:59,2024,OKC
14,15,"Wed, Nov 22, 2023",8:00p,Chicago Bulls,W,116,102,11,4,W 6,18203,2:14,2024,OKC
15,16,"Sat, Nov 25, 2023",5:00p,Philadelphia 76ers,L,123,127,11,5,L 1,17125,2:33,2024,OKC
16,17,"Tue, Nov 28, 2023",8:00p,Minnesota Timberwolves,L,103,106,11,6,L 2,18024,2:20,2024,OKC
17,18,"Thu, Nov 30, 2023",8:00p,Los Angeles Lakers,W,133,110,12,6,W 1,17401,2:07,2024,OKC
18,19,"Sat, Dec 2, 2023",9:00p,Dallas Mavericks,W,126,120,13,6,W 2,20277,2:22,2024,OKC
19,20,"Wed, Dec 6, 2023",8:00p,Houston Rockets,L,101,110,13,7,L 1,16291,2:10,2024,OKC
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,OKC
21,21,"Fri, Dec 8, 2023",8:00p,Golden State Warriors,W,138,136,14,7,W 1,17112,2:37,2024,OKC
22,22,"Mon, Dec 11, 2023",8:00p,Utah Jazz,W,134,120,15,7,W 2,16631,2:03,2024,OKC
23,23,"Thu, Dec 14, 2023",10:00p,Sacramento Kings,L,123,128,15,8,L 1,17794,2:24,2024,OKC
24,24,"Sat, Dec 16, 2023",9:00p,Denver Nuggets,W,118,117,16,8,W 1,19611,2:18,2024,OKC
25,25,"Mon, Dec 18, 2023",8:00p,Memphis Grizzlies,W,116,97,17,8,W 2,16409,2:07,2024,OKC
26,26,"Thu, Dec 21, 2023",8:00p,Los Angeles Clippers,W,134,115,18,8,W 3,18203,2:08,2024,OKC
27,27,"Sat, Dec 23, 2023",8:00p,Los Angeles Lakers,L,120,129,18,9,L 1,18203,2:08,2024,OKC
28,28,"Tue, Dec 26, 2023",8:00p,Minnesota Timberwolves,W,129,106,19,9,W 1,18203,2:14,2024,OKC
29,29,"Wed, Dec 27, 2023",8:00p,New York Knicks,W,129,120,20,9,W 2,18203,2:16,2024,OKC
30,30,"Fri, Dec 29, 2023",9:00p,Denver Nuggets,W,119,93,21,9,W 3,19808,2:05,2024,OKC
31,31,"Sun, Dec 31, 2023",7:00p,Brooklyn Nets,W,124,108,22,9,W 4,18203,2:19,2024,OKC
32,32,"Tue, Jan 2, 2024",8:00p,Boston Celtics,W,127,123,23,9,W 5,18203,2:16,2024,OKC
33,33,"Wed, Jan 3, 2024",7:30p,Atlanta Hawks,L,138,141,23,10,L 1,17770,2:27,2024,OKC
34,34,"Fri, Jan 5, 2024",7:30p,Brooklyn Nets,L,115,124,23,11,L 2,18147,2:22,2024,OKC
35,35,"Mon, Jan 8, 2024",7:00p,Washington Wizards,W,136,128,24,11,W 1,15297,2:16,2024,OKC
36,36,"Wed, Jan 10, 2024",7:30p,Miami Heat,W,128,120,25,11,W 2,19636,2:14,2024,OKC
37,37,"Thu, Jan 11, 2024",8:00p,Portland Trail Blazers,W,139,77,26,11,W 3,15828,1:58,2024,OKC
38,38,"Sat, Jan 13, 2024",8:00p,Orlando Magic,W,112,100,27,11,W 4,18203,2:10,2024,OKC
39,39,"Mon, Jan 15, 2024",10:30p,Los Angeles Lakers,L,105,112,27,12,L 1,18997,2:05,2024,OKC
40,40,"Tue, Jan 16, 2024",10:00p,Los Angeles Clippers,L,117,128,27,13,L 2,19370,2:20,2024,OKC
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,OKC
42,41,"Thu, Jan 18, 2024",9:00p,Utah Jazz,W,134,129,28,13,W 1,18206,2:24,2024,OKC
43,42,"Sat, Jan 20, 2024",8:00p,Minnesota Timberwolves,W,102,97,29,13,W 2,18024,2:24,2024,OKC
44,43,"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,W,111,109,30,13,W 3,15874,2:11,2024,OKC
45,44,"Wed, Jan 24, 2024",9:30p,San Antonio Spurs,W,140,114,31,13,W 4,18130,2:13,2024,OKC
46,45,"Fri, Jan 26, 2024",8:00p,New Orleans Pelicans,W,107,83,32,13,W 5,18624,2:00,2024,OKC
47,46,"Sun, Jan 28, 2024",2:00p,Detroit Pistons,L,104,120,32,14,L 1,16861,1:56,2024,OKC
48,47,"Mon, Jan 29, 2024",8:00p,Minnesota Timberwolves,L,101,107,32,15,L 2,16870,2:10,2024,OKC
49,48,"Wed, Jan 31, 2024",8:00p,Denver Nuggets,W,105,100,33,15,W 1,16723,2:16,2024,OKC
50,49,"Fri, Feb 2, 2024",8:00p,Charlotte Hornets,W,126,106,34,15,W 2,17552,2:04,2024,OKC
51,50,"Sun, Feb 4, 2024",7:00p,Toronto Raptors,W,135,127,35,15,W 3,17059,2:33,2024,OKC
52,51,"Tue, Feb 6, 2024",9:00p,Utah Jazz,L,117,124,35,16,L 1,18206,2:08,2024,OKC
53,52,"Sat, Feb 10, 2024",3:00p,Dallas Mavericks,L,111,146,35,17,L 2,20277,2:14,2024,OKC
54,53,"Sun, Feb 11, 2024",3:00p,Sacramento Kings,W,127,113,36,17,W 1,17092,2:12,2024,OKC
55,54,"Tue, Feb 13, 2024",7:30p,Orlando Magic,W,127,113,37,17,W 2,19301,2:18,2024,OKC
56,55,"Thu, Feb 22, 2024",8:00p,Los Angeles Clippers,W,129,107,38,17,W 3,18203,2:00,2024,OKC
57,56,"Fri, Feb 23, 2024",8:00p,Washington Wizards,W,147,106,39,17,W 4,18203,2:03,2024,OKC
58,57,"Sun, Feb 25, 2024",7:00p,Houston Rockets,W,123,110,40,17,W 5,18055,2:11,2024,OKC
59,58,"Tue, Feb 27, 2024",10:00p,Houston Rockets,W,112,95,41,17,W 6,17164,2:16,2024,OKC
60,59,"Thu, Feb 29, 2024",8:30p,San Antonio Spurs,L,118,132,41,18,L 1,18392,2:10,2024,OKC
61,60,"Sun, Mar 3, 2024",9:30p,Phoenix Suns,W,118,110,42,18,W 1,17071,2:21,2024,OKC
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,OKC
63,61,"Mon, Mar 4, 2024",10:30p,Los Angeles Lakers,L,104,116,42,19,L 1,18997,2:04,2024,OKC
64,62,"Wed, Mar 6, 2024",10:00p,Portland Trail Blazers,W,128,120,43,19,W 1,17589,2:24,2024,OKC
65,63,"Fri, Mar 8, 2024",8:00p,Miami Heat,W,107,100,44,19,W 2,18203,2:07,2024,OKC
66,64,"Sun, Mar 10, 2024",7:00p,Memphis Grizzlies,W,124,93,45,19,W 3,18203,2:01,2024,OKC
67,65,"Tue, Mar 12, 2024",8:00p,Indiana Pacers,L,111,121,45,20,L 1,17118,2:04,2024,OKC
68,66,"Thu, Mar 14, 2024",10:00p,Dallas Mavericks,W,126,119,46,20,W 1,18203,2:27,2024,OKC
69,67,"Sat, Mar 16, 2024",8:00p,Memphis Grizzlies,W,118,112,47,20,W 2,17012,2:18,2024,OKC
70,68,"Wed, Mar 20, 2024",8:00p,Utah Jazz,W,119,107,48,20,W 3,18203,2:15,2024,OKC
71,69,"Fri, Mar 22, 2024",7:00p,Toronto Raptors,W,123,103,49,20,W 4,19601,2:01,2024,OKC
72,70,"Sun, Mar 24, 2024",7:00p,Milwaukee Bucks,L,93,118,49,21,L 1,17877,2:08,2024,OKC
73,71,"Tue, Mar 26, 2024",8:00p,New Orleans Pelicans,W,119,112,50,21,W 1,17436,2:10,2024,OKC
74,72,"Wed, Mar 27, 2024",8:00p,Houston Rockets,L,126,132,50,22,L 1,17438,2:33,2024,OKC
75,73,"Fri, Mar 29, 2024",8:00p,Phoenix Suns,W,128,103,51,22,W 1,18203,2:10,2024,OKC
76,74,"Sun, Mar 31, 2024",7:00p,New York Knicks,W,113,112,52,22,W 2,19812,2:33,2024,OKC
77,75,"Tue, Apr 2, 2024",7:30p,Philadelphia 76ers,L,105,109,52,23,L 1,20733,2:22,2024,OKC
78,76,"Wed, Apr 3, 2024",7:30p,Boston Celtics,L,100,135,52,24,L 2,19156,2:14,2024,OKC
79,77,"Fri, Apr 5, 2024",7:00p,Indiana Pacers,L,112,126,52,25,L 3,17274,2:12,2024,OKC
80,78,"Sun, Apr 7, 2024",6:00p,Charlotte Hornets,W,121,118,53,25,W 1,16556,2:12,2024,OKC
81,79,"Tue, Apr 9, 2024",8:00p,Sacramento Kings,W,112,105,54,25,W 2,17509,2:17,2024,OKC
82,80,"Wed, Apr 10, 2024",8:00p,San Antonio Spurs,W,127,89,55,25,W 3,17229,1:57,2024,OKC
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,OKC
84,81,"Fri, Apr 12, 2024",8:00p,Milwaukee Bucks,W,125,107,56,25,W 4,18203,2:06,2024,OKC
85,82,"Sun, Apr 14, 2024",3:30p,Dallas Mavericks,W,135,86,57,25,W 5,18203,1:56,2024,OKC
0,1,"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,W,119,107,1,0,W 1,19842,2:17,2024,DEN
1,2,"Fri, Oct 27, 2023",7:00p,Memphis Grizzlies,W,108,104,2,0,W 2,16617,2:20,2024,DEN
2,3,"Sun, Oct 29, 2023",3:30p,Oklahoma City Thunder,W,128,95,3,0,W 3,18203,2:00,2024,DEN
3,4,"Mon, Oct 30, 2023",9:00p,Utah Jazz,W,110,102,4,0,W 4,19671,2:11,2024,DEN
4,5,"Wed, Nov 1, 2023",8:00p,Minnesota Timberwolves,L,89,110,4,1,L 1,18024,2:10,2024,DEN
5,6,"Fri, Nov 3, 2023",10:00p,Dallas Mavericks,W,125,114,5,1,W 1,19729,2:19,2024,DEN
6,7,"Sat, Nov 4, 2023",9:00p,Chicago Bulls,W,123,101,6,1,W 2,19610,2:08,2024,DEN
7,8,"Mon, Nov 6, 2023",9:00p,New Orleans Pelicans,W,134,116,7,1,W 3,19544,2:09,2024,DEN
8,9,"Wed, Nov 8, 2023",10:00p,Golden State Warriors,W,108,105,8,1,W 4,19737,2:20,2024,DEN
9,10,"Sun, Nov 12, 2023",7:00p,Houston Rockets,L,104,107,8,2,L 1,18055,2:10,2024,DEN
10,11,"Tue, Nov 14, 2023",10:00p,Los Angeles Clippers,W,111,108,9,2,W 1,19661,2:29,2024,DEN
11,12,"Fri, Nov 17, 2023",8:00p,New Orleans Pelicans,L,110,115,9,3,L 1,15278,2:10,2024,DEN
12,13,"Sun, Nov 19, 2023",6:00p,Cleveland Cavaliers,L,109,121,9,4,L 2,19432,2:05,2024,DEN
13,14,"Mon, Nov 20, 2023",7:00p,Detroit Pistons,W,107,103,10,4,W 1,19403,2:15,2024,DEN
14,15,"Wed, Nov 22, 2023",7:00p,Orlando Magic,L,119,124,10,5,L 1,18237,2:22,2024,DEN
15,16,"Fri, Nov 24, 2023",8:00p,Houston Rockets,L,86,105,10,6,L 2,18055,2:07,2024,DEN
16,17,"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,W,132,120,11,6,W 1,19665,2:19,2024,DEN
17,18,"Mon, Nov 27, 2023",10:30p,Los Angeles Clippers,W,113,104,12,6,W 2,17071,2:26,2024,DEN
18,19,"Wed, Nov 29, 2023",9:00p,Houston Rockets,W,134,124,13,6,W 3,19590,2:07,2024,DEN
19,20,"Fri, Dec 1, 2023",10:00p,Phoenix Suns,W,119,111,14,6,W 4,17071,2:21,2024,DEN
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,DEN
21,21,"Sat, Dec 2, 2023",10:00p,Sacramento Kings,L,117,123,14,7,L 1,17829,2:13,2024,DEN
22,22,"Wed, Dec 6, 2023",10:00p,Los Angeles Clippers,L,102,111,14,8,L 2,16365,2:13,2024,DEN
23,23,"Fri, Dec 8, 2023",9:00p,Houston Rockets,L,106,114,14,9,L 3,19544,2:28,2024,DEN
24,24,"Mon, Dec 11, 2023",7:30p,Atlanta Hawks,W,129,122,15,9,W 1,17531,2:26,2024,DEN
25,25,"Tue, Dec 12, 2023",8:00p,Chicago Bulls,W,114,106,16,9,W 2,20775,2:20,2024,DEN
26,26,"Thu, Dec 14, 2023",9:00p,Brooklyn Nets,W,124,101,17,9,W 3,19636,2:12,2024,DEN
27,27,"Sat, Dec 16, 2023",9:00p,Oklahoma City Thunder,L,117,118,17,10,L 1,19611,2:18,2024,DEN
28,28,"Mon, Dec 18, 2023",9:00p,Dallas Mavericks,W,130,104,18,10,W 1,19659,2:03,2024,DEN
29,29,"Wed, Dec 20, 2023",7:30p,Toronto Raptors,W,113,104,19,10,W 2,19800,1:57,2024,DEN
30,30,"Fri, Dec 22, 2023",7:30p,Brooklyn Nets,W,122,117,20,10,W 3,17732,2:17,2024,DEN
31,31,"Sat, Dec 23, 2023",7:00p,Charlotte Hornets,W,102,95,21,10,W 4,19165,2:09,2024,DEN
32,32,"Mon, Dec 25, 2023",2:30p,Golden State Warriors,W,120,114,22,10,W 5,19811,2:27,2024,DEN
33,33,"Thu, Dec 28, 2023",9:00p,Memphis Grizzlies,W,142,105,23,10,W 6,19733,2:06,2024,DEN
34,34,"Fri, Dec 29, 2023",9:00p,Oklahoma City Thunder,L,93,119,23,11,L 1,19808,2:05,2024,DEN
35,35,"Mon, Jan 1, 2024",9:00p,Charlotte Hornets,W,111,93,24,11,W 1,19625,2:01,2024,DEN
36,36,"Thu, Jan 4, 2024",10:00p,Golden State Warriors,W,130,127,25,11,W 2,18064,2:22,2024,DEN
37,37,"Fri, Jan 5, 2024",9:00p,Orlando Magic,L,120,122,25,12,L 1,19659,2:15,2024,DEN
38,38,"Sun, Jan 7, 2024",8:00p,Detroit Pistons,W,131,114,26,12,W 1,19623,2:15,2024,DEN
39,39,"Wed, Jan 10, 2024",10:00p,Utah Jazz,L,111,124,26,13,L 1,18206,2:23,2024,DEN
40,40,"Fri, Jan 12, 2024",10:00p,New Orleans Pelicans,W,125,113,27,13,W 1,19638,2:16,2024,DEN
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,DEN
42,41,"Sun, Jan 14, 2024",3:30p,Indiana Pacers,W,117,109,28,13,W 2,19631,2:17,2024,DEN
43,42,"Tue, Jan 16, 2024",7:30p,Philadelphia 76ers,L,121,126,28,14,L 1,19775,2:28,2024,DEN
44,43,"Fri, Jan 19, 2024",7:30p,Boston Celtics,W,102,100,29,14,W 1,19156,2:12,2024,DEN
45,44,"Sun, Jan 21, 2024",6:00p,Washington Wizards,W,113,104,30,14,W 2,17107,2:09,2024,DEN
46,45,"Tue, Jan 23, 2024",7:00p,Indiana Pacers,W,114,109,31,14,W 3,16004,2:16,2024,DEN
47,46,"Thu, Jan 25, 2024",7:30p,New York Knicks,L,84,122,31,15,L 1,19812,2:05,2024,DEN
48,47,"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,W,111,105,32,15,W 1,19805,2:22,2024,DEN
49,48,"Mon, Jan 29, 2024",9:00p,Milwaukee Bucks,W,113,107,33,15,W 2,19801,2:19,2024,DEN
50,49,"Wed, Jan 31, 2024",8:00p,Oklahoma City Thunder,L,100,105,33,16,L 1,16723,2:16,2024,DEN
51,50,"Fri, Feb 2, 2024",9:00p,Portland Trail Blazers,W,120,108,34,16,W 1,19622,2:06,2024,DEN
52,51,"Sun, Feb 4, 2024",8:30p,Portland Trail Blazers,W,112,103,35,16,W 2,19715,2:00,2024,DEN
53,52,"Thu, Feb 8, 2024",10:00p,Los Angeles Lakers,W,114,106,36,16,W 3,18997,2:12,2024,DEN
54,53,"Fri, Feb 9, 2024",10:00p,Sacramento Kings,L,106,135,36,17,L 1,17832,2:10,2024,DEN
55,54,"Mon, Feb 12, 2024",8:00p,Milwaukee Bucks,L,95,112,36,18,L 2,17444,2:04,2024,DEN
56,55,"Wed, Feb 14, 2024",9:00p,Sacramento Kings,L,98,102,36,19,L 3,19617,2:15,2024,DEN
57,56,"Thu, Feb 22, 2024",9:00p,Washington Wizards,W,130,110,37,19,W 1,19621,2:03,2024,DEN
58,57,"Fri, Feb 23, 2024",10:00p,Portland Trail Blazers,W,127,112,38,19,W 2,18898,2:08,2024,DEN
59,58,"Sun, Feb 25, 2024",7:00p,Golden State Warriors,W,119,103,39,19,W 3,18064,2:21,2024,DEN
60,59,"Wed, Feb 28, 2024",9:00p,Sacramento Kings,W,117,96,40,19,W 4,19628,2:04,2024,DEN
61,60,"Thu, Feb 29, 2024",10:00p,Miami Heat,W,103,97,41,19,W 5,19634,2:30,2024,DEN
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,DEN
63,61,"Sat, Mar 2, 2024",8:30p,Los Angeles Lakers,W,124,114,42,19,W 6,18997,2:02,2024,DEN
64,62,"Tue, Mar 5, 2024",10:00p,Phoenix Suns,L,107,117,42,20,L 1,19589,2:24,2024,DEN
65,63,"Thu, Mar 7, 2024",10:00p,Boston Celtics,W,115,109,43,20,W 1,19855,2:24,2024,DEN
66,64,"Sat, Mar 9, 2024",9:00p,Utah Jazz,W,142,121,44,20,W 2,19632,2:12,2024,DEN
67,65,"Mon, Mar 11, 2024",9:00p,Toronto Raptors,W,125,119,45,20,W 3,19652,2:06,2024,DEN
68,66,"Wed, Mar 13, 2024",7:30p,Miami Heat,W,100,88,46,20,W 4,19921,2:05,2024,DEN
69,67,"Fri, Mar 15, 2024",8:30p,San Antonio Spurs,W,117,106,47,20,W 5,16223,2:07,2024,DEN
70,68,"Sun, Mar 17, 2024",3:30p,Dallas Mavericks,L,105,107,47,21,L 1,20377,2:20,2024,DEN
71,69,"Tue, Mar 19, 2024",9:00p,Minnesota Timberwolves,W,115,112,48,21,W 1,18024,2:12,2024,DEN
72,70,"Thu, Mar 21, 2024",9:00p,New York Knicks,W,113,100,49,21,W 2,19811,2:13,2024,DEN
73,71,"Sat, Mar 23, 2024",10:00p,Portland Trail Blazers,W,114,111,50,21,W 3,18629,2:22,2024,DEN
74,72,"Mon, Mar 25, 2024",9:00p,Memphis Grizzlies,W,128,103,51,21,W 4,19536,2:13,2024,DEN
75,73,"Wed, Mar 27, 2024",10:00p,Phoenix Suns,L,97,104,51,22,L 1,19827,2:19,2024,DEN
76,74,"Fri, Mar 29, 2024",9:00p,Minnesota Timberwolves,L,98,111,51,23,L 2,19844,2:14,2024,DEN
77,75,"Sun, Mar 31, 2024",3:30p,Cleveland Cavaliers,W,130,101,52,23,W 1,19621,2:07,2024,DEN
78,76,"Tue, Apr 2, 2024",9:00p,San Antonio Spurs,W,110,105,53,23,W 2,19741,2:10,2024,DEN
79,77,"Thu, Apr 4, 2024",10:00p,Los Angeles Clippers,L,100,102,53,24,L 1,19370,2:33,2024,DEN
80,78,"Sat, Apr 6, 2024",9:00p,Atlanta Hawks,W,142,110,54,24,W 1,19639,2:10,2024,DEN
81,79,"Tue, Apr 9, 2024",9:00p,Utah Jazz,W,111,95,55,24,W 2,18206,1:58,2024,DEN
82,80,"Wed, Apr 10, 2024",10:00p,Minnesota Timberwolves,W,116,107,56,24,W 3,19845,2:21,2024,DEN
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,DEN
84,81,"Fri, Apr 12, 2024",8:00p,San Antonio Spurs,L,120,121,56,25,L 1,18665,2:07,2024,DEN
85,82,"Sun, Apr 14, 2024",3:30p,Memphis Grizzlies,W,126,111,57,25,W 1,17544,2:09,2024,DEN
0,1,"Wed, Oct 25, 2023",7:30p,Toronto Raptors,L,94,97,0,1,L 1,19800,2:10,2024,MIN
1,2,"Sat, Oct 28, 2023",8:00p,Miami Heat,W,106,90,1,1,W 1,18024,2:05,2024,MIN
2,3,"Mon, Oct 30, 2023",7:30p,Atlanta Hawks,L,113,127,1,2,L 1,15504,2:05,2024,MIN
3,4,"Wed, Nov 1, 2023",8:00p,Denver Nuggets,W,110,89,2,2,W 1,18024,2:10,2024,MIN
4,5,"Sat, Nov 4, 2023",8:00p,Utah Jazz,W,123,95,3,2,W 2,18024,2:10,2024,MIN
5,6,"Mon, Nov 6, 2023",8:00p,Boston Celtics,W,114,109,4,2,W 3,18024,2:40,2024,MIN
6,7,"Wed, Nov 8, 2023",8:00p,New Orleans Pelicans,W,122,101,5,2,W 4,18024,2:07,2024,MIN
7,8,"Fri, Nov 10, 2023",8:00p,San Antonio Spurs,W,117,110,6,2,W 5,18354,2:17,2024,MIN
8,9,"Sun, Nov 12, 2023",8:30p,Golden State Warriors,W,116,110,7,2,W 6,18064,2:25,2024,MIN
9,10,"Tue, Nov 14, 2023",10:00p,Golden State Warriors,W,104,101,8,2,W 7,18064,2:24,2024,MIN
10,11,"Wed, Nov 15, 2023",9:00p,Phoenix Suns,L,115,133,8,3,L 1,17071,2:07,2024,MIN
11,12,"Sat, Nov 18, 2023",7:00p,New Orleans Pelicans,W,121,120,9,3,W 1,15536,2:21,2024,MIN
12,13,"Mon, Nov 20, 2023",8:00p,New York Knicks,W,117,100,10,3,W 2,18024,2:19,2024,MIN
13,14,"Wed, Nov 22, 2023",8:00p,Philadelphia 76ers,W,112,99,11,3,W 3,18024,2:09,2024,MIN
14,15,"Fri, Nov 24, 2023",8:00p,Sacramento Kings,L,111,124,11,4,L 1,18024,2:11,2024,MIN
15,16,"Sun, Nov 26, 2023",6:00p,Memphis Grizzlies,W,119,97,12,4,W 1,15764,2:15,2024,MIN
16,17,"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,W,106,103,13,4,W 2,18024,2:20,2024,MIN
17,18,"Thu, Nov 30, 2023",8:00p,Utah Jazz,W,101,90,14,4,W 3,18024,2:03,2024,MIN
18,19,"Sat, Dec 2, 2023",5:00p,Charlotte Hornets,W,123,117,15,4,W 4,17731,2:16,2024,MIN
19,20,"Wed, Dec 6, 2023",7:30p,San Antonio Spurs,W,102,94,16,4,W 5,18024,2:15,2024,MIN
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,MIN
21,21,"Fri, Dec 8, 2023",8:00p,Memphis Grizzlies,W,127,103,17,4,W 6,15577,2:11,2024,MIN
22,22,"Mon, Dec 11, 2023",8:00p,New Orleans Pelicans,L,107,121,17,5,L 1,16487,2:19,2024,MIN
23,23,"Thu, Dec 14, 2023",8:30p,Dallas Mavericks,W,119,101,18,5,W 1,20177,2:12,2024,MIN
24,24,"Sat, Dec 16, 2023",8:00p,Indiana Pacers,W,127,109,19,5,W 2,18024,2:10,2024,MIN
25,25,"Mon, Dec 18, 2023",7:30p,Miami Heat,W,112,108,20,5,W 3,19819,2:11,2024,MIN
26,26,"Wed, Dec 20, 2023",7:00p,Philadelphia 76ers,L,113,127,20,6,L 1,20365,2:23,2024,MIN
27,27,"Thu, Dec 21, 2023",9:00p,Los Angeles Lakers,W,118,111,21,6,W 1,18024,2:17,2024,MIN
28,28,"Sat, Dec 23, 2023",10:00p,Sacramento Kings,W,110,98,22,6,W 2,17983,2:05,2024,MIN
29,29,"Tue, Dec 26, 2023",8:00p,Oklahoma City Thunder,L,106,129,22,7,L 1,18203,2:14,2024,MIN
30,30,"Thu, Dec 28, 2023",8:00p,Dallas Mavericks,W,118,110,23,7,W 1,18024,2:24,2024,MIN
31,31,"Sat, Dec 30, 2023",8:00p,Los Angeles Lakers,W,108,106,24,7,W 2,18024,2:29,2024,MIN
32,32,"Mon, Jan 1, 2024",3:00p,New York Knicks,L,106,112,24,8,L 1,19812,2:28,2024,MIN
33,33,"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,L,106,117,24,9,L 2,18024,2:11,2024,MIN
34,34,"Fri, Jan 5, 2024",8:00p,Houston Rockets,W,122,95,25,9,W 1,18055,2:04,2024,MIN
35,35,"Sun, Jan 7, 2024",7:30p,Dallas Mavericks,L,108,115,25,10,L 1,20111,2:17,2024,MIN
36,36,"Tue, Jan 9, 2024",7:00p,Orlando Magic,W,113,92,26,10,W 1,19223,2:07,2024,MIN
